feature,mean_abs_shap,mean_shap
csat_score,0.08963080643377017,-0.03239911432180483
tenure_months,0.05339317192731237,-0.02441714976794759
monthly_logins,0.04369706473033834,-0.017174859947820045
payment_failures,0.03957177719345944,-0.013269413742696643
total_revenue,0.02958843620930628,-0.011827848927559887
last_login_days_ago,0.01010831568076594,-0.006933584432163429
avg_session_time,0.0089631935641336,-0.008266061106791782
avg_resolution_time,0.008054787981686769,-0.007179574759269666
nps_score,0.007415467851678409,-0.006449780280351043
usage_growth_rate,0.007372035725731257,-0.006875236524828907
email_open_rate,0.0069231784313617505,-0.006452697610529063
age,0.006672829885538104,-0.006463912475099987
marketing_click_rate,0.006214467497477387,-0.005987112540186159
features_used,0.0050460847070683225,-0.00428609669607607
monthly_fee,0.004222903014032591,-0.0029809992064149245
weekly_active_days,0.003975234256325665,-0.003626262459133119
customer_segment_SME,0.003703538728174138,-0.001233885225662953
country_Germany,0.0034701562829108096,-0.0008051903125396383
survey_response_Neutral,0.003445600154971818,-0.0009741503554209778
gender_Male,0.003317767900657444,-0.0008297271075968779
discount_applied_No,0.003005915587618197,-0.0008018403873914998
contract_type_Quarterly,0.0029808540010693974,-0.0007618848977912049
gender_Female,0.002929897475073424,-0.0008627141881450743
signup_channel_Referral,0.002596535816624118,-0.0008056661671896788
support_tickets,0.0024724040634755075,-0.00221358517049155
country_Bangladesh,0.0023230878154155213,-0.0006971699259604903
country_USA,0.0022931528398903124,-0.0005039970508158285
referral_count,0.002044486909180175,-0.0018191077832218807
discount_applied_Yes,0.00196521155591081,-0.0007400917187209844
survey_response_Satisfied,0.0016602585378737145,-0.0008873064447822145
payment_method_Card,0.0015373488559302108,-0.0006583268379106667
signup_channel_Mobile,0.0015344333747987077,-0.0010494535322078122
survey_response_Unsatisfied,0.001472417998971095,-0.0007911386855418191
customer_segment_Individual,0.001462915263528402,-0.0009212781375629451
contract_type_Monthly,0.0014060120630265361,-0.0009648894117163274
complaint_type_nan,0.0014022229304608634,-0.0006781132967293721
escalations,0.0013891479105428732,-0.001229298828573152
signup_channel_Web,0.0013815452678516565,-0.0009023063997796414
payment_method_Bank Transfer,0.0013573806172202337,-0.0005678431933848931
country_UK,0.0012102560935679336,-0.0007560633157806716
city_Sydney,0.00116154090938441,-0.0008697119373145808
city_London,0.0011216261837890022,-0.0007576967133386017
complaint_type_Technical,0.0011085767075862884,-0.0007859837328479955
country_Australia,0.0011083379424116936,-0.0006898862983453105
city_Berlin,0.001104864180016401,-0.0006854075486567926
complaint_type_Service,0.0010753169894371518,-0.0006249395784792378
city_Toronto,0.0010692151631797753,-0.0009064329159109531
contract_type_Yearly,0.0010380176848863595,-0.0007144821237822389
city_Dhaka,0.001027971122010641,-0.0006825417550452438
payment_method_PayPal,0.0009985171270721796,-0.0008220681297582431
customer_segment_Enterprise,0.0009691343986081332,-0.00036667827305417395
price_increase_last_3m_No,0.00087941065633566,-0.0005827010448957767
complaint_type_Billing,0.0008592684333461223,-0.0006504594747596661
city_Delhi,0.0007547687198277692,-0.0006305633560968249
country_India,0.0007512720485608603,-0.0005133903909826581
price_increase_last_3m_Yes,0.0007419243069246524,-0.0005400674136556131
city_New York,0.0007086369429420332,-0.0005630721877201592
country_Canada,0.0007074175380259727,-0.0005709069552162167
